Date,Mileage,Fuel,MPG_Estimate,Distance,MPG_Actual,Comments
8/20/06,391,10.000,39.1,391,39.100,Filled by dealer
9/8/06,833,8.891,,442,49.713,
9/29/06,1289,10.220,46.7,456,44.618,
10/17/06,1682,8.337,45.6,393,47.139,
10/27/06,2073,8.695,45.4,391,44.968,Trip to Tony's
11/17/06,2469,9.084,44.5,396,43.593,Moved to Herndon office
11/28/06,2876,9.262,46.4,407,43.943,
12/24/06,3290,9.135,44.3,414,45.320,
1/2/07,3669,8.448,44.0,379,44.863,
1/16/07,4064,9.321,45.5,395,42.377,
1/26/07,4393,7.480,42.1,329,43.984,
1/30/07,4729,9.234,40.3,336,36.387,Mountains
2/8/07,5077,7.770,41.1,348,44.788,
2/23/07,5446,9.603,42.3,369,38.425,Oil change
3/8/07,5848,8.646,44.9,402,46.495,Warmer
3/27/07,6254,8.724,47.6,406,46.538,
4/13/07,6681,9.249,47.7,427,46.167,
4/30/07,7132,9.659,48.7,451,46.692,
5/25/07,7640,10.866,51.3,508,46.751,
6/13/07,8151,8.865,52.4,511,57.642,WOW!
6/28/07,8582,8.969,52.1,431,48.054,
6/30/07,9070,9.558,50.0,488,51.057,New England
7/1/07,9618,10.910,53.2,548,50.229,New England
7/6/07,10156,9.715,52.3,538,55.378,New England
7/13/07,10584,8.392,49.8,428,51.001,
7/27/07,11088,9.714,54.3,504,51.884,
8/3/07,11500,9.157,50.1,412,44.993,
8/9/07,11869,6.108,53.1,369,60.413,
8/10/07,12398,13.413,50.0,529,39.439,Ran out of gas in Ohio / Michigan trip
8/13/07,12939,9.223,49.4,541,58.658,Michigan trip
8/25/07,13421,8.046,53.8,482,59.906,
9/7/07,13869,10.041,53.5,448,44.617,
9/25/07,14375,8.880,51.4,506,56.982,
10/5/07,14822,9.848,52.3,447,45.390,Trip to Tony's
10/16/07,15368,9.163,54.6,546,59.587,
10/30/07,15807,8.663,52.7,439,50.675,
11/9/07,16258,9.139,51.1,451,49.349,
11/20/07,16624,6.938,51.1,366,52.753,
12/1/07,17039,9.503,49.4,415,43.670,
12/14/07,17463,9.389,46.5,424,45.159,
12/27/07,17874,8.044,46.6,411,51.094,
1/11/08,18287,9.400,50.2,413,43.936,
1/18/08,18536,5.385,46.6,249,46.240,Embassy (cold)
1/23/08,18738,4.022,47.2,202,50.224,
2/4/08,19153,9.158,48.3,415,45.316,
2/23/08,19554,8.044,48.8,401,49.851,
3/5/08,19979,9.619,49.2,425,44.183,
3/14/08,20315,7.189,50.8,336,46.738,
3/28/08,20766,8.798,50.9,451,51.262,
4/11/08,21262,10.433,52.0,496,47.541,
4/30/08,21790,9.724,53.7,528,54.299,
5/26/08,22304,11.382,52.0,514,45.159,
6/14/08,22955,10.052,57.3,651,64.763,No weekend trips!!
6/28/08,23476,8.538,57.6,521,61.021,Summer!
